player_id,player,position,ht_inches,weight,bmi,current_team,birth_date,birth_place,death_date,life_span_yrs,college,high_school,draft_team,draft_round,draft_position,draft_year,current_salary,induct.year,from,to,1st.team.ap,pro_bowl,years.starter,career.avg.value,games,completions,pass.att,pass.yds,pass.td,longest.pass,int,times.sacked,sack.yds.lost,rush.att,rush.yds,rush.td,longest.rush,receptions,rec.yds,rec.tds,longest.rec
16971,Orlando Pace,T,79,325,36.6892694572559,NA,1975-11-04,"Sandusky, OH",NA,NA,Ohio St.,"Sandusky, OH",St. Louis Rams,1,1,1997,NA,2016,1997,2009,3,7,12,104,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4428,George Connor,T,75,240,30.060666181938423,NA,1925-01-21,"Chicago, IL",2003-03-31,78.241095890411,Holy Cross,"De La Salle Institute, IL",New York Giants,1,5,1946,NA,1975,1948,1955,4,4,7,0,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,89,0,25
20372,Mike Singletary,LB,72,230,31.258830755596414,NA,1958-10-09,"Houston, TX",NA,NA,Baylor,"Evan E. Worthing, TX",Chicago Bears,2,38,1981,NA,1998,1981,1992,7,10,12,123,179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7166,Danny Fortmann,G,72,210,28.540671559457596,NA,1916-04-11,"Pearl River, NY",1995-05-23,79.1671232876712,Colgate,"Pearl River, NY",Chicago Bears,9,78,1936,NA,1965,1936,1943,6,3,8,0,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9267,Marvin Harrison,WR,72,175,23.783892966214662,NA,1972-08-25,"Philadelphia, PA",NA,NA,Syracuse,"Roman Catholic, PA",Indianapolis Colts,1,19,1996,NA,2016,1996,2008,3,8,12,124,190,NA,NA,NA,NA,NA,NA,NA,NA,10,28,0,15,1102,14580,128,80
323,Marcus Allen,RB,74,210,27.018780380611425,NA,1960-03-26,"San Diego, CA",NA,NA,USC,"Abraham Lincoln, CA",Los Angeles Raiders,1,10,1982,NA,2003,1982,1997,2,6,12,103,222,12,27,282,6,47,1,6,32,3022,12243,123,61,587,5411,21,92
22749,Johnny Unitas,QB,73,194,25.648731759429772,NA,1933-05-07,"Pittsburgh, PA",2002-09-11,69.3945205479452,Louisville,"St. Justin's, PA",Pittsburgh Steelers,9,102,1955,NA,1979,1956,1973,5,10,14,114,211,2830,5186,40239,290,89,253,74,590,450,1777,13,34,1,1,0,1
5959,Paddy Driscoll,HB,71,160,22.36213016906746,NA,1895-01-11,"Evanston, IL",1968-06-29,73.5123287671233,Northwestern,"Evanston Twp., IL",NA,NA,NA,NA,NA,1965,1920,1929,6,0,9,0,118,NA,NA,NA,NA,NA,NA,NA,NA,0,0,25,0,0,0,4,0
16174,Joe Namath,QB,74,200,25.7321717910585,NA,1943-05-31,"Beaver Falls, PA",NA,NA,Alabama,"Beaver Falls, PA",New York Jets,1,1,1965,NA,1985,1965,1977,1,5,9,94,140,1886,3762,27663,173,91,220,109,1052,71,140,7,39,NA,NA,NA,NA
22333,Andre Tippett,LB,75,240,30.060666181938423,NA,1959-12-27,"Birmingham, AL",NA,NA,Iowa,"Barringer, NJ",New England Patriots,2,41,1982,NA,2008,1982,1993,2,5,10,90,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3963,Dutch Clark,TB,72,185,25.142972564284072,NA,1906-10-11,"Fowler, CO",1978-08-05,71.8657534246575,Colorado Col.,"Central, CO",NA,NA,NA,NA,NA,1963,1931,1938,6,0,5,0,75,114,250,1507,11,0,26,NA,NA,606,2772,36,0,28,341,6,23
23517,Mike Webster,C,73,255,33.71353916832264,NA,1952-03-18,"Tomahawk, WI",2002-09-24,50.5534246575342,Wisconsin,"Rhinelander, WI",Pittsburgh Steelers,5,125,1974,NA,1997,1974,1990,5,9,14,116,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24600,Willie Wood,DB,70,190,27.319164100294802,NA,1936-12-23,"Washington, DC",NA,NA,USC,"Armstrong, DC",NA,NA,NA,NA,NA,1989,1960,1971,5,8,11,92,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19662,Joe Schmidt,LB,73,220,29.08619065502345,NA,1932-01-19,"Pittsburgh, PA",NA,NA,Pittsburgh,"Brentwood, PA",Detroit Lions,7,86,1953,NA,1973,1953,1965,8,10,11,53,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11555,Deacon Jones,DE,77,272,32.32193403775635,NA,1938-12-09,"Eatonville, FL",2013-06-03,74.5342465753425,South Carolina St.,"Hungerford, FL",Los Angeles Rams,14,186,1961,NA,1980,1961,1974,5,8,13,91,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8427,Joe Greene,DT,76,275,33.54404215733639,NA,1946-09-24,"Temple, TX",NA,NA,North Texas,"Dunbar, TX",Pittsburgh Steelers,1,4,1969,NA,1987,1969,1981,5,10,12,104,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1669,Elvin Bethea,DE,74,260,33.45182332837605,NA,1946-03-01,"Trenton, NJ",NA,NA,North Carolina A&T;,"Trenton Central, NJ",Houston Oilers,3,77,1968,NA,2003,1968,1983,0,8,14,65,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18676,John Riggins,RB,74,230,29.59199755971727,NA,1949-08-04,"Centralia, KS",NA,NA,Kansas,"Centralia, KS",New York Jets,1,6,1971,NA,1992,1971,1985,1,1,12,91,175,0,2,0,0,0,0,0,0,2916,11352,104,66,250,2090,12,67
23803,Randy White,DT,76,257,31.34843212521983,NA,1953-01-15,"Pittsburgh, PA",NA,NA,Maryland,"Thomas McKean, DE",Dallas Cowboys,1,2,1975,NA,1994,1975,1988,7,9,11,116,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22468,George Trafton,C,74,230,29.59199755971727,NA,1896-12-06,"Chicago, IL",1971-09-05,74.7945205479452,Notre Dame,"Oak Park, IL",NA,NA,NA,NA,NA,1964,1920,1932,2,0,9,0,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22801,Norm Van Brocklin,QB,73,190,25.119891929338436,NA,1926-03-15,"Eagle Butte, SD",1983-05-02,57.1698630136986,Oregon,"Acalanes, CA",Los Angeles Rams,4,37,1949,NA,1971,1949,1960,1,9,9,17,140,1553,2895,23611,173,91,178,NA,NA,102,40,11,16,NA,NA,NA,NA
15380,Wayne Millner,E,73,189,24.987681971815604,NA,1913-01-31,"Boston, MA",1976-11-19,63.8438356164384,Notre Dame,"Salem, MA",Boston Redskins,8,65,1936,NA,1968,1936,1945,0,0,5,0,76,NA,NA,NA,NA,NA,NA,NA,NA,14,62,0,8,124,1578,12,78
20441,Jackie Slater,T,76,277,33.78799882757156,NA,1954-05-27,"Jackson, MS",NA,NA,Jackson St.,"Wingfield, MS",Los Angeles Rams,3,86,1976,NA,2001,1976,1995,0,7,13,87,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16110,George Musso,G,74,262,33.70914504628663,NA,1910-04-08,"Collinsville, IL",2000-09-05,90.4739726027397,Millikin,"Collinsville, IL",NA,NA,NA,NA,NA,1982,1933,1944,1,3,9,0,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3365,Tony Canadeo,HB,71,190,26.55502957576761,NA,1919-05-05,"Chicago, IL",2003-11-29,84.627397260274,Gonzaga,"Steinmetz, IL",Green Bay Packers,9,77,1941,NA,1974,1941,1952,1,0,8,0,116,105,268,1642,16,51,20,NA,NA,1025,4197,26,54,69,579,5,46
